time_ratio,time_ratio,free_energy(kcal/mol),estimated std,Rolling_STD(kcal/mol)
0.86,0.86,0.7134685881074868,0.007790116109370595,0.013337174296893016
0.87,0.87,0.7432389388160754,0.00841080075220069,0.023883829598529093
0.88,0.88,0.7762761477209678,0.009111046376951539,0.036432638311520514
0.89,0.89,0.8138347943483284,0.009913245035658816,0.050761861134559785
0.9,0.9,0.8487173679825956,0.010688055546365777,0.06451125026695687
0.91,0.91,0.8962356042200962,0.011554423039386322,0.07972440679350565
0.92,0.92,0.9492253914627453,0.012481269231174616,0.09655022478778506
0.93,0.93,0.997002208178999,0.013411928776824173,0.11129680888214048
0.94,0.94,1.0501338899924706,0.014395582467586354,0.12334759754454636
0.95,0.95,1.1150657622978724,0.015610100820749456,0.13516783662797413
0.96,0.96,1.174677340174404,0.01680395945540706,0.1463422703424137
0.97,0.97,1.2413746924713647,0.01815358615016692,0.15761711440501344
0.98,0.98,1.3149651952629255,0.019783540252905005,0.16948608943000892
0.99,0.99,1.4052344376341053,0.02174321504741086,0.1842866731046335
1.0,1.0,1.5127497380306756,0.024144153094154044,0.2026924928586901
