times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)
34.8|1.0|0.0|0.0|-126788.30998880822|-126787.42711707449
35.0|1.0|0.0|0.0|-126821.14209456272|-126818.216005388
35.2|1.0|0.0|0.0|-126912.50670655197|-126910.41303929765
35.4|1.0|0.0|0.0|-127002.7727111958|-126999.60698540763
35.6|1.0|0.0|0.0|-126776.27550322874|-126773.55121330745
35.8|1.0|0.0|0.0|-126783.14195470882|-126778.39967225328
36.0|1.0|0.0|0.0|-126882.81106074183|-126878.15706545966
36.2|1.0|0.0|0.0|-126966.26019784776|-126961.03864216532
36.4|1.0|0.0|0.0|-127018.55142939213|-127012.63618877604
36.6|1.0|0.0|0.0|-127010.85115800836|-127004.99897965898
36.8|1.0|0.0|0.0|-127295.46223199017|-127291.17399785484
37.0|1.0|0.0|0.0|-127066.89806197087|-127059.84770055425
37.2|1.0|0.0|0.0|-126957.36360415381|-126952.23033564475
37.4|1.0|0.0|0.0|-127158.0238221669|-127151.88155739069
37.6|1.0|0.0|0.0|-126962.05797553141|-126957.29046816919
37.8|1.0|0.0|0.0|-126730.30283845098|-126723.64346308788
38.0|1.0|0.0|0.0|-126841.00737610298|-126835.11736039357
38.2|1.0|0.0|0.0|-126724.83957277812|-126718.11713514832
38.4|1.0|0.0|0.0|-126742.07549167168|-126736.12241369557
38.6|1.0|0.0|0.0|-126907.8010224155|-126900.86417307892
38.8|1.0|0.0|0.0|-126726.8753792645|-126716.69712941976
39.0|1.0|0.0|0.0|-126852.55405755753|-126841.64428541911
39.2|1.0|0.0|0.0|-126544.04660887642|-126537.21065916658
39.4|1.0|0.0|0.0|-126381.19777792034|-126375.79964789117
39.6|1.0|0.0|0.0|-126548.82794687574|-126543.07666815307
39.8|1.0|0.0|0.0|-126347.64326039607|-126341.94243148674
40.0|1.0|0.0|0.0|-126427.33074486977|-126421.88216502724
40.2|1.0|0.0|0.0|-126579.43364926142|-126571.5130285644
40.4|1.0|0.0|0.0|-126358.35358083538|-126351.82033000568
40.6|1.0|0.0|0.0|-126375.75598955245|-126371.77045429726
40.8|1.0|0.0|0.0|-126391.18101998631|-126384.8747933167
41.0|1.0|0.0|0.0|-126438.20725670079|-126434.01992219216
41.2|1.0|0.0|0.0|-126550.94875273708|-126542.09481049296
41.4|1.0|0.0|0.0|-126643.14324524031|-126636.26945817043
41.6|1.0|0.0|0.0|-126590.28445329567|-126582.60346921209
41.8|1.0|0.0|0.0|-126711.70454159226|-126708.08476748392
42.0|1.0|0.0|0.0|-126906.36395794126|-126903.12255743306
42.2|1.0|0.0|0.0|-127063.17459030767|-127058.86113126566
