times(ps)|lambda_restraints|lambda_electrostatics|lambda_sterics|(0.0, 0.0, 0.0)|(1.0, 0.0, 0.0)|(1.0, 0.1, 0.0)|(1.0, 0.2, 0.0)|(1.0, 0.3, 0.0)|(1.0, 0.4, 0.0)|(1.0, 0.5, 0.0)|(1.0, 0.6, 0.0)|(1.0, 0.7, 0.0)|(1.0, 0.8, 0.0)|(1.0, 0.9, 0.0)|(1.0, 1.0, 0.0)|(1.0, 1.0, 0.05)|(1.0, 1.0, 0.1)|(1.0, 1.0, 0.15)|(1.0, 1.0, 0.2)|(1.0, 1.0, 0.25)|(1.0, 1.0, 0.3)|(1.0, 1.0, 0.35)|(1.0, 1.0, 0.4)|(1.0, 1.0, 0.45)|(1.0, 1.0, 0.5)|(1.0, 1.0, 0.55)|(1.0, 1.0, 0.6)|(1.0, 1.0, 0.65)|(1.0, 1.0, 0.7)|(1.0, 1.0, 0.75)|(1.0, 1.0, 0.8)|(1.0, 1.0, 0.85)|(1.0, 1.0, 0.9)|(1.0, 1.0, 0.95)|(1.0, 1.0, 1.0)
55.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
56.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
56.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
56.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
57.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
57.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
58.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
58.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
58.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
59.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
59.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
60.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
60.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
60.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
61.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
61.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
62.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
62.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
62.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
63.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
63.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
64.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
64.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
64.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
65.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
65.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
66.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
66.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
66.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
67.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
67.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
68.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
68.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
68.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
69.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
69.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
70.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
70.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
70.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
71.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
71.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
72.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
72.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
72.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
73.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
73.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
74.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
74.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
74.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
75.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
75.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
76.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
76.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
76.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
77.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
77.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
78.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
78.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
78.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
79.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
79.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
80.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
80.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
80.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
81.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
81.6|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
82.0|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
82.4|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
82.8|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
83.2|0.0|0.0|0.0|0.0|0.0||||||||||||||||||||||||||||||
